record_type,record_id,entity_a,entity_b,source_a,source_b,field,value_a,value_b,severity
relationship,3775,Jeffrey Epstein,Kenneth R. Feinberg,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3782,Jeffrey Epstein,Marci A. Hamilton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3790,Ghislaine Maxwell,speer,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3796,Ghislaine Maxwell,Carmen C Aguero,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3799,Ghislaine Maxwell,Melissa Madrigal,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3817,Ghislaine Maxwell,John Scarola,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3852,Jeffrey Epstein,Sharon R. Bock,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3854,Ghislaine Maxwell,Robert Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3855,Ghislaine Maxwell,Betty Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,3860,Jeffrey Epstein,Hathaway,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4081,Jeffrey Epstein,"Inmate Reyes, Efrain",corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4086,Jeffrey Epstein,United States,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4095,Jeffrey Epstein,Michael B. Mukasey,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4096,Jeffrey Epstein,Julie K. Brown,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4097,Jeffrey Epstein,Individual I,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4098,Jeffrey Epstein,world-stage individual,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4112,Ghislaine Maxwell,Gall,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4116,Jeffrey Epstein,Cavera,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4118,Jeffrey Epstein,Gall,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4133,Ghislaine Maxwell,Johnson,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4143,Jeffrey Epstein,Mark Filip,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4156,Jeffrey Epstein,Andrew Lourie,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4162,Jeffrey Epstein,Michael Reiter,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4167,Jeffrey Epstein,Chuck Weber,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4169,Ghislaine Maxwell,William Sweeney Jr.,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4179,Jeffrey Epstein,Khashoggi,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4185,Jeffrey Epstein,Patrick Ho,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4190,Ghislaine Maxwell,Perry,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4195,Ghislaine Maxwell,Kaplan,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4197,Ghislaine Maxwell,Andrew Brettler,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4211,Ghislaine Maxwell,Luc Cohen,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4220,Ghislaine Maxwell,Mark Epstein,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4243,Ghislaine Maxwell,Jerry Goldsmith,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4252,Jeffrey Epstein,F E,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4255,Jeffrey Epstein,Eve,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4260,Ghislaine Maxwell,F E,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4264,Ghislaine Maxwell,Guel,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4269,Ghislaine Maxwell,Eve,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4276,Jeffrey Epstein,Eric,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4284,Jeffrey Epstein,Clarence Darrow,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4302,Jeffrey Epstein,David Copperfield,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4309,Jeffrey Epstein,Jean-Luc Brunel,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4313,Jeffrey Epstein,Nicole Hesse,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4327,Jeffrey Epstein,Linda,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4329,Ghislaine Maxwell,Markham/Sally,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4334,Jeffrey Epstein,Jerome,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4338,Jeffrey Epstein,Estate Manager,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4339,Ghislaine Maxwell,Estate Manager,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4367,Jeffrey Epstein,Sophie Biddle,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4370,Ghislaine Maxwell,Sophie Biddle,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4467,Jeffrey Epstein,Trump,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4677,Jeffrey Epstein,Alfredo Rodriguez,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4696,Ghislaine Maxwell,Dove,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4843,Ghislaine Maxwell,E Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4845,Ghislaine Maxwell,Kevin Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,4888,Ehud Barak,Tom Barrack,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5006,Alan Dershowitz,Charlie Rose,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5007,Ghislaine Maxwell,Charlie Rose,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5032,Ghislaine Maxwell,David Copperfield,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5033,Ehud Barak,Ghislaine Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5034,Ehud Barak,Jean-Luc Brunel,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5048,Jeffrey Epstein,Jay Lefkowitz,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5049,Jeffrey Epstein,Jeffrey J. Sloman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5050,Jeffrey Epstein,Newsmax article about Ken Starr,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5080,Jeffrey Epstein,Matthew I. Menchel,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5096,Alan Dershowitz,Andrew Lourie,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5098,Alan Dershowitz,Matthew I. Menchel,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5102,Alan Dershowitz,Gerald Lefcourt,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5103,Alan Dershowitz,Alexander Acosta,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5125,Alan Dershowitz,Jay Lefkowitz,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5136,Jeffrey Epstein,Medical Examiner,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5137,Jeffrey Epstein,FBI agents,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5143,Jeffrey Epstein,Staff Psychologist,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5147,Ghislaine Maxwell,Staff Psychologist,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5150,Jeffrey Epstein,Associate Warden,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5151,Jeffrey Epstein,Supervisory Staff Attorney,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5158,Jeffrey Epstein,Supervisory Correctional Systems Specialist,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5159,Jeffrey Epstein,Correctional Systems Officer,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5170,Jeffrey Epstein,SHU Lieutenant,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5179,Jeffrey Epstein,Co 1,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5196,Jeffrey Epstein,Inmate 5,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5213,Jeffrey Epstein,SIS Lieutenant,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5242,Jeffrey Epstein,Unit Manager,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5245,Jeffrey Epstein,Colette S. Peters,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5246,Jeffrey Epstein,Sarah E. Lake,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5247,Jeffrey Epstein,Michael E. Horowitz,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5250,Jeffrey Epstein,Lee Plourde,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5260,Jeffrey Epstein,Michael Baden,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5261,Jeffrey Epstein,Pluorde,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5262,Jeffrey Epstein,Lieutenant Rice,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5269,Jeffrey Epstein,John Sullivan,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5272,Jeffrey Epstein,Sonya Thompson,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5281,Jeffrey Epstein,Nancy Ayers,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5291,Jeffrey Epstein,Kevin Pistro,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5298,Jeffrey Epstein,Johnson,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5306,Jeffrey Epstein,Lt.,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5307,Jeffrey Epstein,Samanta Honigman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5313,Jeffrey Epstein,Lee,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5314,Jeffrey Epstein,Jonathan David Farley,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5322,S. Allen Counter,Jeffrey Epstein,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5326,Jeffrey Epstein,Aly Raisman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5327,Jeffrey Epstein,Simone Biles,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5335,Jeffrey Epstein,Howard James Petrucci,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5339,Jeffrey Epstein,Mariel Colon,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5352,Jeffrey Epstein,Michael Carvajal,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5361,Jeffrey Epstein,Medical MR.,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5366,Jeffrey Epstein,Calicos,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5374,Jeffrey Epstein,Saada,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5383,Jeffrey Epstein,Max,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5386,Jeffrey Epstein,Calvert,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5401,Jeffrey Epstein,Campella,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5403,Jeffrey Epstein,Jawed,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5411,Jeffrey Epstein,W. Wm,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5413,Jeffrey Epstein,Savile,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5435,Jeffrey Epstein,Deacon,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5452,Jeffrey Epstein,Licherman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5455,Jeffrey Epstein,Michael Weiner,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5463,Jeffrey Epstein,Saxton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5482,Jeffrey Epstein,Tina,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5485,Jeffrey Epstein,Sadler,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5486,Jeffrey Epstein,T. Till,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5491,Jeffrey Epstein,"Carvalho, Michel & Charlene",corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5492,Jeffrey Epstein,Qadriyyah Hill-Lora,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5516,Jeffrey Epstein,Michael Greco,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5526,Jeffrey Epstein,Sue Kroll,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5527,Jeffrey Epstein,I. Epstein,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5531,Jeffrey Epstein,Vitali,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5534,Jeffrey Epstein,Ricardo Martinez,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5547,Jeffrey Epstein,Tim Ferriss,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5552,Jeffrey Epstein,Ron Johnson,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5553,Jeffrey Epstein,Chuck Grassley,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5562,Jeffrey Epstein,S. Jean,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5563,Jeffrey Epstein,Estin,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5590,Jeffrey Epstein,Petrucci,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5599,Jeffrey Epstein,Ric Bradshaw,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5600,Jeffrey Epstein,Ron DeSantis,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5605,Jeffrey Epstein,Richard L. Swearingen,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5613,Jeffrey Epstein,M. D. Carvajal,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5690,Jeffrey Epstein,Ijc,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5694,Jeffrey Epstein,Rosa Proto,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5738,Jeffrey Epstein,AW Skipper Scott,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5755,Jeffrey Epstein,Taro,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5756,Jeffrey Epstein,Ronald,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5757,Jeffrey Epstein,Sandra Bullock,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5760,Jeffrey Epstein,Operations Lieutenant,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5761,Jeffrey Epstein,Senior Officer Specialist,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5764,Jeffrey Epstein,Alex,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5765,Jeffrey Epstein,"Easton, S. D.",corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5766,Jeffrey Epstein,K. W.,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5773,Jeffrey Epstein,D. Shinn,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5774,Jeffrey Epstein,N. C. English,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5785,Jeffrey Epstein,Larry Summers,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5806,Jeffrey Epstein,Hillary Clinton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5807,Jeffrey Epstein,Kevin Spacey,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5808,Hillary Clinton,Trump,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5812,Jeffrey Epstein,Vicky Ward,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5816,Hillary Clinton,Vicky Ward,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5822,Ghislaine Maxwell,Hillary Clinton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5823,Hillary Clinton,Rosa Monckton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5824,Jeffrey Epstein,Larry Keller,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5833,Ghislaine Maxwell,Larry Morrison,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5838,Jeffrey Epstein,Alan Dershowitz and Tatiana,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5844,Jeffrey Epstein,Van Hauen Sophie,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5845,Jeffrey Epstein,S Andrea,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5856,Jeffrey Epstein,Natalie,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5870,Jeffrey Epstein,Doron,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5871,Jeffrey Epstein,.evelyn,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5877,Jeffrey Epstein,Daniel Siad,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5894,Jeffrey Epstein,Michelle Michelle,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5899,Jeffrey Epstein,Linda Pinto,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5900,Jeffrey Epstein,Nadia Marcinkova,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5901,Jeffrey Epstein,Karen,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5904,Jeffrey Epstein,Mitchell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5911,Jeffrey Epstein,J.,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5912,Jeffrey Epstein,M. Epstein,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5914,Jeffrey Epstein,Sandra,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5930,Jeffrey Epstein,Manhattan mansion from Les Wexner,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5946,Jeffrey Epstein,Susan,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5951,Jeffrey Epstein,"Andrew, Duke of York",corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5980,Ghislaine Maxwell,Timothy J. Ambrose,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5981,Jeffrey Epstein,Timothy J. Ambrose,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5982,Jeffrey Epstein,Tuckerman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5983,Jeffrey Epstein,Luby,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5991,Jeffrey Epstein,Tim Ambrose,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5992,Jeffrey Epstein,Karen Sargent,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5993,Jeffrey Epstein,Dean Boal,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,5999,Ghislaine Maxwell,Melissa Dalton,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6008,Ghislaine Maxwell,Manuela Stoetter,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6040,Ghislaine Maxwell,Edward Spector,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6054,Jeffrey Epstein,D Schoettle,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6055,Ghislaine Maxwell,Perry Lang/Adam,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6061,Ghislaine Maxwell,Kelson/L,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6063,Jeffrey Epstein,Jennifer Mitchell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6064,Jeffrey Epstein,Tad Smith,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6069,Jeffrey Epstein,Serene Nakano,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6072,Ghislaine Maxwell,Moira Penza,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6077,Ghislaine Maxwell,Anthony John Jetts,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6083,Jeffrey Epstein,Claimant,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6086,Jeffrey Epstein,Rva,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6193,Jeffrey Epstein,Werden,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6195,Jeffrey Epstein,Melle,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6207,Jeffrey Epstein,W. Colon,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6211,Jeffrey Epstein,"Joaquin, Y.",corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6222,Jeffrey Epstein,Samantha Boardman,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6226,Jeffrey Epstein,Robert Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6228,Ghislaine Maxwell,Leslie Wexner,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6232,Ghislaine Maxwell,Kevin Spacey,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6234,Ghislaine Maxwell,Trump,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6236,Hillary Clinton,Robert Maxwell,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6243,Jeffrey Epstein,Tatum,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6244,Jeffrey Epstein,Tom Ford,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6256,Jeffrey Epstein,Dave,corpus,epstein-docs,relationship_type,co_occurrence,co_documented,low
relationship,6272,Jeffrey Epstein,East 71st Street town house,corpus,doc-explorer,relationship_type,co_occurrence,owned townhouse at,low
relationship,6275,Jeffrey Epstein,Deborah Blohm,corpus,doc-explorer,relationship_type,co_occurrence,attended reception with,low
relationship,6278,Jeffrey Epstein,prostitution charges,corpus,doc-explorer,relationship_type,co_occurrence,pleaded guilty to,low
relationship,6279,Jeffrey Epstein,Palm Beach County Central Detention Center,corpus,doc-explorer,relationship_type,co_occurrence,served sentence at,low
relationship,6280,Jeffrey Epstein,National Sex Offender Registry,corpus,doc-explorer,relationship_type,co_occurrence,entered registry as,low
relationship,6283,Ghislaine Maxwell,"Andrew, Duke of York",doc-explorer,rhowardstone,relationship_type,appeared in photograph with,associated_with,low
relationship,6286,Jeffrey Epstein,New York Academy of Art,corpus,doc-explorer,relationship_type,co_occurrence,attended ball with,low
relationship,6290,Jeffrey Epstein,Michael Reiter,corpus,doc-explorer,relationship_type,co_occurrence,requested arrest warrant for,low
relationship,6294,Jeffrey Epstein,Guy Fronstein,corpus,doc-explorer,relationship_type,co_occurrence,communicated message from,low
relationship,6297,Jeffrey Epstein,state felony offenses,corpus,doc-explorer,relationship_type,co_occurrence,pleaded guilty to,low
relationship,6298,Jeffrey Epstein,Ric Bradshaw,corpus,doc-explorer,relationship_type,co_occurrence,transferred,low
relationship,6302,Jeffrey Epstein,New York Academy of Art Tribeca Ball,corpus,doc-explorer,relationship_type,co_occurrence,attended charity event with,low
relationship,6306,Jeffrey Epstein,Alan Dershowitz,corpus,doc-explorer,relationship_type,co_occurrence,hired as legal counsel,low
relationship,6307,Jeffrey Epstein,Kenneth Starr,corpus,doc-explorer,relationship_type,co_occurrence,hired as legal counsel,low
relationship,6309,Jeffrey Epstein,Roy Black,corpus,doc-explorer,relationship_type,co_occurrence,hired as legal counsel,low
relationship,6312,Jeffrey Epstein,Sarah Kellen,corpus,doc-explorer,relationship_type,co_occurrence,visited,low
relationship,6321,Jeffrey Epstein,more than 40 minor girls,corpus,doc-explorer,relationship_type,co_occurrence,repeatedly sexually assaulted,low
relationship,6322,Jeffrey Epstein,underage girl,corpus,doc-explorer,relationship_type,co_occurrence,implemented pyramid scheme to procure,low
relationship,6332,Jeffrey Epstein,Palm Beach County Circuit Court,corpus,doc-explorer,relationship_type,co_occurrence,entered guilty pleas before,low
relationship,6345,Jeffrey Epstein,his sexual abuse of minors,corpus,doc-explorer,relationship_type,co_occurrence,took Fifth Amendment when deposed regarding,low
relationship,6348,Jeffrey Epstein,his daily abuse and molestation of children,corpus,doc-explorer,relationship_type,co_occurrence,took Fifth Amendment when questioned regarding,low
relationship,6360,Trump,45th President of the United States,corpus,doc-explorer,relationship_type,co_occurrence,filed financial disclosure report as,low
relationship,6361,Trump,40 Wall Street LLC,corpus,doc-explorer,relationship_type,co_occurrence,disclosed ownership interests in,low
relationship,6362,Trump,Trump National Golf Club - Jupiter,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6363,Trump,Trump National Golf Club - Bedminster,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6366,Trump,Trump Turnberry,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6367,Trump,Trump International Golf Links - Doonbeg,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6368,Trump,Trump Books Llc,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6369,Trump,The Trump Corporation,corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6370,Trump,"Universe L.P., LLLP",corpus,doc-explorer,relationship_type,co_occurrence,reported income from,low
relationship,6371,Trump,The Art of The Deal,corpus,doc-explorer,relationship_type,co_occurrence,reported book royalties from,low
